customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0007044,Female,0,Yes,Yes,28,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,118.75,3324.06,Yes
CUST-0007045,Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),77.21,1789.27,Yes
CUST-0007046,Female,0,Yes,Yes,10,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),67.06,631.96,Yes
CUST-0007047,Male,0,Yes,No,4,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.84,307.4,No
CUST-0007048,Female,0,Yes,No,9,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.51,677.15,No
CUST-0007049,Female,1,No,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,51.22,1662.51,No
CUST-0007050,Male,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.11,371.83,Yes
CUST-0007051,Male,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,100.32,1559.78,No
CUST-0007052,Female,0,Yes,No,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),67.71,4329.62,No
CUST-0007053,Male,1,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,91.43,1510.18,No
CUST-0007054,Female,0,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),96.54,4395.55,No
CUST-0007055,Female,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,111.31,4665.65,No
CUST-0007056,Male,0,Yes,Yes,46,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,59.07,2699.53,Yes
CUST-0007057,Male,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),80.53,1268.67,No
CUST-0007058,Female,0,No,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),98.84,7120.29,Yes
CUST-0007059,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,74.25,5369.01,No
CUST-0007060,Female,0,No,Yes,26,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,110.33,2888.3,No
CUST-0007061,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,118.75,367.95,Yes
CUST-0007062,Male,0,No,No,17,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.79,1399.29,Yes
CUST-0007063,Female,1,Yes,No,27,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,116.42,3180.55,No
CUST-0007064,Male,0,No,Yes,36,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),118.75,4242.08,Yes
CUST-0007065,Female,0,No,Yes,49,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,109.98,5402.44,No
CUST-0007066,Male,1,No,Yes,31,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.06,2878.84,Yes
CUST-0007067,Female,1,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,110.32,5087.81,Yes
CUST-0007068,Female,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,58.99,2379.43,No
CUST-0007069,Male,0,Yes,No,1,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.15,103.22,No
CUST-0007070,Female,1,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.23,579.17,No
CUST-0007071,Male,0,No,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),62.15,1235.64,No
CUST-0007072,Male,0,No,Yes,53,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,101.22,5390.95,No
CUST-0007073,Male,1,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,74.02,1289.35,No
CUST-0007074,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),42.0,216.67,No
CUST-0007075,Male,0,No,No,25,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,79.6,1999.3,No
CUST-0007076,Male,1,No,No,3,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,97.57,342.25,Yes
CUST-0007077,Male,1,No,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.03,2444.2,No
