customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0000001,Male,0,No,No,72,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),118.75,8566.08,No
CUST-0000002,Female,1,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.89,5972.02,No
CUST-0000003,Female,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.12,276.09,No
CUST-0000004,Female,0,No,No,35,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,58.1,2030.26,No
CUST-0000005,Male,0,No,No,58,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),79.82,4604.74,No
CUST-0000006,Male,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),40.0,313.44,No
CUST-0000007,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,70.28,416.09,Yes
CUST-0000008,Female,1,No,No,0,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,104.17,,No
CUST-0000009,Female,0,No,No,16,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,80.91,1304.05,No
CUST-0000010,Female,1,No,Yes,72,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.65,3505.21,No
CUST-0000011,Male,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,109.07,7883.24,No
CUST-0000012,Female,0,No,No,4,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),32.2,149.23,Yes
CUST-0000013,Female,0,No,Yes,7,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.91,520.21,Yes
CUST-0000014,Male,0,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,288.87,No
CUST-0000015,Male,0,No,No,48,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Electronic check,29.64,1427.12,Yes
CUST-0000016,Male,1,No,No,30,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),43.2,1304.95,No
CUST-0000017,Male,1,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),84.01,1957.59,Yes
CUST-0000018,Female,1,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),76.75,2116.86,No
CUST-0000019,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),59.77,178.85,No
CUST-0000020,Male,0,Yes,No,20,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),95.87,1922.52,Yes
CUST-0000021,Female,0,No,Yes,72,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,66.01,4756.78,No
CUST-0000022,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,91.54,164.49,No
CUST-0000023,Male,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.32,2372.43,No
